gvkey,execid,datadate,fyear,FamaFrench_Ind12,FamaFrench_Ind48,press_career_educ,CEOpos_NumJobs_NumInd,credentials_experiences,revenue_residual,high_optimism,low_optimism,insider,size_LogTotalAsset,size_NumEmp,num_seg,entropy,rnd,Num_RRCP_Provisions,fortune_mac_ranking,firm_prestige,salegr,revenue_fitted,l_totalcomp,l_currcomp,wealth,tot_yr_comp,Prof_CEO_Dummy,tot_yr_comp_net,age,gender,tenure,l_tenure,capital_exp,leverage,cash,dividend_payout,cash_flow,StockReturn_SD,CashFlow_SD,roa,adj_roa,oroa,adj_oroa,oros,adj_oros,roe,adj_roe,annual_StockReturn,Tobin_Q,Tobin_Qf
"001254","26079",31dec2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Transportation",,-1.386347,,-.0618717,,,,7.129538,1.036,2,-.5613263,0,,,,.0618441,.28945,,6.424832,6302.433,1064.927,.0001672,1395.052,52,"MALE",553,6.317165,.0281984,.2291917,.0917247,.0214692,.0976528,.0257527,.02372375,.0430185,-.0054967,.0430185,-.0054967,.0327999,-.0146115,.0480533,.0009058,.4432953,1.36306,1.36306
"001274","23203",,2013,"Finance","Insurance",,,,,,,,10.05883,1.985,,,0,,,,.0269158,,15.79149,7.130899,31499.34,4845.465,9.48e-06,1554.992,56,"MALE",3287,8.098035,.000746,.0768118,.0989042,0,.0374563,.0257527,.01018658,.0269003,-.0016809,.0269003,-.0016809,.1282897,.0375851,.093714,.0162877,.158437,.990667,.990667
"001300","20931",31dec2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Measuring and Control Equipment",,.1275248,,.1375212,0,,0,10.72404,131,5,,.0461913,,,,.0305932,.60697,17.05187,8.853665,381024.2,214655.3,.0000453,214028.6,60,"MALE",4231,8.35043,.020843,.1943216,.1413448,.0292506,.1081765,.0257527,.01414097,.0863651,.0272286,.0863651,.0272286,.1004737,.0094756,.0547924,.0233378,.1417144,2.174091,2.174091
"001327","17260",30sep2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Electronic Equipment",,-.6080492,,-.0461835,0,1,1,7.754953,4.75,1,0,.1262835,,,,.0957606,.35161,15.57348,6.51892,23952.96,1302.111,.0001584,-3812.318,56,"MALE",4930,8.503297,.0530625,0,.2190648,0,.1635164,.0281016,.02478137,.1191976,.0812073,.1191976,.0816532,.1551897,.1096327,.059583,.0289799,1.244919,2.399565,2.099968
"001380","02132",31dec2013,2013,"Oil, Gas, and Coal Extraction and Products","Petroleum and Natural Gas",,1.264022,,.2776333,,,,10.66322,12.225,4,,0,,,,-.3603639,.74598,16.4421,8.011908,2449641,920667.6,.0011745,535573.5,59,"MALE",6817,8.827321,.1365954,.135613,.0424288,.0054966,.1657389,.0257527,.02202943,.0888338,.0456334,.1181644,.0749333,.2267098,.1312752,.1871037,.143575,-.090738,.9997442,.9997442
"001408","42397",31dec2013,2013,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys","Beer & Liquor",,1.512369,,-.1185108,0,,,9.057736,3.3,1,0,0,,,,.009482,.33205,15.84801,6.929468,23428.81,6175.504,.0000157,6474.687,51,"MALE",1825,7.509883,.0149685,.2373175,.03229,.0169721,.0573113,.0257527,.01252451,.0425757,-.0444167,.0422263,-.0447662,.1423075,.007432,.0325492,-.0018612,.239388,1.644891,1.644891
"001410","16088",31oct2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Business Services",,-.4407238,,.0843745,0,1,1,7.658811,110,7,-1.463817,0,,,,.2401884,.43122,,6.761765,14008.49,8446.918,.0002761,7445.669,58,"MALE",4747,8.465479,.0153796,.1485771,.0154013,.0155117,.0628953,.0263727,.00274572,.0343992,-.0086989,.0343992,-.0099085,.0151582,-.0473046,.0477657,.0144579,-.0075238,1.309326,1.281054
"001414","43827",,2013,"Finance","Insurance",,-.6080492,,,,,,9.242803,2.605,,,0,,,,.0074282,,15.06778,6.620073,12353.15,4851.788,.0001907,-6150.425,56,"MALE",5478,8.608678,.0023057,.036252,.030987,.0024258,.0167886,.0257527,.00905025,.0157527,-.0128285,.0157527,-.0128285,.1283879,.0376834,.0691585,-.0082678,.2309983,1.100681,1.100681
"001439","46409",,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Almost Nothing",,.6121107,,,,,,5.705634,.458,,,0,,,,.1064294,,,5.693409,3357.817,316.2614,.0001548,316.2614,43,"MALE",244,5.501258,.0711115,0,.2460107,.0331985,.1652537,.0257527,.03744523,.1069717,.0774518,.1069717,.0774518,.159855,.103144,.0402694,.0089207,.0523516,2.836869,2.836869
"001440","40778",,2013,"Utilities","Utilities",,1.596032,,,,,,10.94047,18.521,,,0,,,,.0073032,,16.16277,7.093915,8926.794,1215.065,1.33e-06,2248.431,53,"MALE",780,6.660575,.0669692,.3487078,.008349,.0168398,.0571312,.0257527,.00277129,.0262346,-.0002581,.0262346,-.0003094,.096373,.0149685,.064916,.0123793,.2714961,.9337699,.9337699
"001447","02157",,2013,"Finance","Banking",,.2948502,,,0,1,,11.94064,62.8,,,0,,,,.0073284,,16.89336,8.987197,326381.9,222680.1,.000047,213122.3,61,"MALE",4747,8.465479,.0070285,.3934866,.1303407,.0063048,.0415909,.0257527,.00586946,.0349405,.0251752,.0349405,.025138,.1534123,-.0455999,.0555126,-.0031861,.0889353,1.502303,1.502303
"001449","00013",,2013,"Finance","Insurance",,-.0756117,,,,1,1,11.70608,9.141,,,0,,,,-.0117471,,16.66413,7.273162,359032.5,212317.8,.0002988,60261.22,61,"MALE",8765,9.078636,0,.0403687,.0653136,.0054407,.0264948,.0257527,.00379106,.0260331,-.0025481,.0260331,-.0025481,.1319186,.0412141,.102904,.0254777,-.0777757,1.109679,1.109679
"001487","20972",,2013,"Finance","Insurance",,1.596032,,,,,,13.20178,64,,,0,,,,.0027432,,16.50841,7.727196,18241.86,3252.946,1.86e-06,3457.473,69,"MALE",1604,7.380879,0,.0770197,.0653965,.0005431,.0253339,.0257527,.01611716,.0166276,-.0119537,.0167828,-.0117985,.1348423,.0441378,.121554,.0441277,.111482,.9511174,.9511174
"001533","24344",30sep2013,2013,"Chemicals and Allied Products","Chemicals",,,,.0119461,0,,,5.625125,.53,4,,0,,,,.100048,.29575,,6.195191,6251.922,5217.246,.0004702,5393.304,67,"MALE",1368,7.221836,.0501826,.2001464,.2194824,0,.1319332,.0281016,.05319704,.0834202,.0136345,.0837772,.0121707,.1080131,.0243917,.0533717,.0031817,-.0514391,1.666564,2.168201
"001554","40759",31mar2014,2013,"Healthcare, Medical Equipment, and Drugs","Medical Equipment",,.3758718,,-.046287,,,,5.581656,.344,1,0,.1161057,,,,.013442,.29598,,6.249975,1336.335,522.774,.0000121,522.774,52,"MALE",383,5.950643,.0068585,.0109788,.6229309,.0591802,.0769083,.0333366,.03226212,.0569355,.0032864,.0569355,.0032864,.079459,0,.0285459,-.0050199,-.1763262,2.391819,2.251072
"001585","36036",31dec2013,2013,"Chemicals and Allied Products","Chemicals",,-.8180981,,-.0487123,1,,,6.103549,.499,1,0,.0225814,,,,.0331461,.29622,,6.793466,34883.25,-8354.88,.0051766,-20453.57,57,"MALE",7123,8.871224,.0341049,.115646,.0149293,.0139057,.1101682,.0257527,.03697975,.0769908,.0072052,.0769908,.0053843,.0904123,.006791,.0493953,-.0007946,-.6160126,1.930021,1.930021
"001598","04252",31dec2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Measuring and Control Equipment",,.7794361,,-.1002337,0,,1,8.678955,14.5,3,,.0261259,,,,.0442204,.3151,15.59256,7.217678,168822.3,72435.58,.0007148,43903.04,64,"MALE",5235,8.563313,.0107715,.2407432,.0502225,.0099364,.1081433,.0257527,.01158094,.0879564,.0288198,.0879564,.0288198,.1438451,.052847,.0400636,.008609,.0413452,2.56685,2.56685
"001602","33199",31dec2013,2013,"Healthcare, Medical Equipment, and Drugs","Pharmaceutical Products",,.6957734,,.157479,0,,,11.0993,20,1,0,.2186228,,,,.0213384,.70956,16.42924,7.307047,49260.64,16819.93,5.39e-06,19861.77,50,"MALE",587,6.376727,.0104802,.4858677,.2933989,.0230019,.0962873,.0257527,.02222988,.0768393,.0271529,.0768393,.0271529,.2720604,.1838999,.0590232,.0380788,.4769538,1.914764,1.914764
"001632","32412",31oct2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Electronic Equipment",,-.8007078,,.0609879,0,1,,8.761198,9.1,1,0,.1948806,,,,-.0105697,.50718,14.81951,6.441591,9259.365,638.8167,1.82e-06,638.8167,53,"MALE",183,5.214936,.0192853,.1366774,.7337975,.0636119,.1228351,.0263727,.03643191,.1055333,.0675429,.1055333,.0679889,.25572,.210163,.0439197,.0133166,.0823388,2.738694,2.659248
"001633","32327",31jul2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Measuring and Control Equipment",,-.6080492,,-.0103161,,,0,6.376359,1.7,4,,.1162687,,,,.0574905,.28947,,6.292957,7293.458,1221.227,.0000793,1523.322,55,"MALE",2263,7.724888,.0434701,0,.1923036,.0085627,.0823364,.0244811,.02311121,.0529463,-.0061903,.0529463,-.0061903,.0565463,-.0344518,.0356297,.0041751,.0796096,2.01591,1.658508
"001659","32760",31dec2013,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,.3785129,,.0911734,,1,,7.7291,3.238,7,,0,,,,.1462748,.44886,,6.204558,17686.64,26925.02,.0002457,15019.74,61,"MALE",5478,8.608678,.0613004,.1879043,.1361273,.0053269,.0648495,.0257527,.00828782,.0395587,-.0071834,.0395587,-.0071834,.0160474,-.0072361,.0536702,.0061816,-.0398362,1.375718,1.375718
"001661","04038",31dec2013,2013,"Oil, Gas, and Coal Extraction and Products","Petroleum and Natural Gas",,-.2733984,,.019781,0,,1,9.405891,25.85,,,.0073862,,,,-.0688792,.4801,18.03816,7.377759,155532.8,24161.55,.0012097,10576.02,58,"MALE",795,6.679599,.0968934,.3219048,.0417057,.003879,.1020442,.0257527,.0196169,.0126779,-.0305225,.0117586,-.0314725,.0232415,-.072193,.028499,-.0150298,-.2007799,.8798058,.8798058
"001678","03994",31dec2013,2013,"Oil, Gas, and Coal Extraction and Products","Petroleum and Natural Gas",,-1.051696,,.5066803,0,,1,11.02902,5.342,1,0,0,,,,-.0088421,1,,7.467371,49453.91,6343.564,.0000132,-829.0969,64,"MALE",4262,8.357728,.1820335,.1577786,.030923,.005143,.1297759,.0257527,.03335666,.036212,-.0069884,.036212,-.0070191,.136081,.0406465,.0656225,.0220937,-.2915559,.8743081,.8743081
"001686","43176",28feb2014,2013,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","Consumer Goods",,.4595345,,-.0709566,1,,,6.337457,4.266,6,,.0101109,,,,.1259753,.24558,,6.499208,22184.75,7883.44,.0007722,5580.804,56,"MALE",921,6.826545,.0740276,.0366282,.0507096,.0190393,.0933676,.0327721,.0354186,.0495015,-.0166694,.0495015,-.0166694,.0362774,-.0249043,.0282335,-.0154791,.295246,2.202513,2.116462
"001690","11717",30sep2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Electronic Equipment",,.2948502,,.3009633,,,1,12.24047,84.40000000000001,,,.0261834,,,,.0695749,1,15.26307,7.244232,43027.91,-137004.6,7.07e-07,33399.32,52,"MALE",768,6.645091,.0394444,.0819324,.1958744,.0515749,.2115652,.0281016,.02796185,.1789227,.1409324,.1789227,.1413783,.2167047,.1711477,.0863938,.0557907,.5058821,2.760572,2.394501
"001722","24742",31dec2013,2013,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys","Food Products",,.6268598,,.4512548,0,,,10.68629,31.1,5,,.000657,,,,.0175078,1,15.74108,7.17012,63118.79,28998.56,.0000485,18693.97,60,"FEMALE",2805,7.939515,.0208676,.1570214,.1717636,.0114509,.0500777,.0257527,.01721555,.0306729,-.0432077,.0306729,-.0378192,.0149437,-.0482788,.0469221,.0037755,.3362323,1.159915,1.159915
"001743","30801",31dec2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Transportation",,,,-.0875732,,,1,6.924933,11.42,6,,0,,,,.2295724,.25323,,6.35437,1786.347,2371.224,.0000483,1283.442,50,"FEMALE",1460,7.286876,.0259199,.1243004,.1407238,.0031779,.1024254,.0257527,.06543801,.0155417,-.0329735,.0155417,-.0329735,.0068757,-.0405357,.0181752,-.0289723,.3397343,1.280571,1.280571
"001773","24903",31dec2013,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,,,.2280558,,1,,9.397722,16.5,3,,0,,,,.0789459,.66649,15.86176,6.917903,35997.13,14573.83,.0001045,11866.11,54,"MALE",1705,7.441907,.0096313,.1865543,.0323859,0,.0439902,.0257527,.01775081,.033117,-.0136251,.033117,-.0136251,.0187018,-.0045818,.073673,.0261843,.1382937,1.102919,1.102919
"001794","20400",30sep2013,2013,"Chemicals and Allied Products","Chemicals",,-.3159001,,-.112822,0,,,9.399968,15,5,,.0227825,,,,-.0325116,.2911,,7.094555,39669.87,18831.48,.0000396,19761.42,59,"MALE",4290,8.364275,.0259762,.270268,.0286234,.0072799,.0912475,.0281016,.02576952,.056006,-.0137797,.0565023,-.0151042,.0874184,.003797,.095914,.0457241,.2465503,1.208312,1.179265
"001837","12438",,2013,"Utilities","Utilities",,.4728752,,,,,,9.585346,6.094,,,0,,,,.0197251,,15.6536,6.837038,17381.03,4949.63,.0000501,5052.256,57,"MALE",2860,7.958927,.0502406,.3425429,.0089347,.0152577,.0472165,,.01138048,.0199313,-.0065615,.0202749,-.0062691,.0700879,-.0113166,.0525367,0,.1684665,1.027019,1.027019
"001860","35361",30sep2013,2013,"Oil, Gas, and Coal Extraction and Products","Petroleum and Natural Gas",,-.1209764,,.0174575,,,,8.204472,1.83,1,0,0,,,,.0755324,.40334,15.56814,7.245134,11711.88,4504.705,.0000373,7118.598,50,"MALE",1399,7.244227,.203765,.3476102,.0242722,0,.1278917,.0281016,.03102998,.0957612,.0525608,.0957612,.05253,.3292622,.2338277,.0993347,.0558059,-.1126078,1.331435,1.360335
"001864","47989",31jan2014,2013,"Chemicals and Allied Products","Chemicals",,-1.008972,,-.1256645,,,,6.058815,.105,3,,0,,,,.0195247,.23515,,5.040194,55645.39,26057.47,.0048509,7454.052,58,"MALE",10988,9.30465,.0082222,.1769845,.2469196,0,.1188077,.0336342,.03736743,.0792744,.0094888,.0819715,.0103651,.052655,-.0309664,.1057129,.055523,.3860434,1.147842,1.076851
"001878","24798",31jan2014,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Business Services",,1.108737,,.5888811,,,1,8.432724,7.6,5,,.2687453,,,,-.0083351,1,15.93144,6.935034,25840.59,20174.38,.0001173,18837.92,56,"MALE",2832,7.949091,.0139717,.1624374,.4933841,0,.0776279,.0336342,.02362433,.0497933,.0066952,.0497933,.0054856,.1006201,.0381573,.0196929,-.0136149,.1935849,2.990385,3.036317
"001891","36251",30jun2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Business Services",,-.841647,,-.1195287,0,1,,10.38183,60,5,,.0578509,,,,.0199857,.35042,15.78512,6.745236,18044.46,6845.315,.000021,7855.655,49,"MALE",600,6.398595,.0054109,.0081629,.0535234,.0255299,.0520979,.0225877,.00678684,.0422739,-.0008241,.0435662,-.0007415,.124296,.0618332,.0423028,.008995,.1884121,2.009334,1.830775
"001913","18509",31dec2013,2013,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","Business Supplies",,-.106073,,-.1093238,0,,,8.436113,26,4,,.0156352,,,,.0226435,.29418,15.95074,6.969086,33354.31,17103.08,.0000887,16662.07,58,"MALE",3165,8.060225,.0280224,.222856,.080033,.0242918,.0962348,.0257527,.08701934,.0529866,.0031149,.0468052,-.0030665,.0351466,-.0054449,.0447052,-.0026397,.0390825,1.723328,1.723328
"001919","25661",30jun2013,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,-.5906589,,.3808152,0,,,9.256716,18.5,3,,0,,,,-.0237332,.81407,15.59593,6.802395,10392.34,1852.698,.0000283,1526.237,55,"MALE",727,6.590301,.0092966,.1952502,.0963603,0,.0544856,.0225877,.10439862,.0429677,-.0037744,.0429677,-.0037744,.0176784,-.0056052,.0977105,.0502218,.293982,1.167821,1.03027
"001920","36936",31dec2013,2013,"Chemicals and Allied Products","Consumer Goods",,.0586113,,.0493796,,,,8.778372,36.7,1,0,.0067504,,,,-.1173852,.50419,16.11584,7.090077,8780.287,530.2414,.0000199,1185.158,54,"FEMALE",617,6.426488,.0303898,.4190657,.175454,.0161268,.0337477,.0257527,.04140119,-.0008472,-.0670181,-.0086102,-.0747811,-.0056153,-.066797,-.0074815,-.0511941,-.4413126,1.974794,1.974794
"001968","36440",31dec2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Measuring and Control Equipment",,-.56711,,-.0849439,0,,,5.755926,1.36,1,0,.0314376,,,,.0457574,.24622,,6.375195,10724.3,2541.023,.0007742,649.0721,58,"MALE",4382,8.385489,.0452797,.2216207,.02298,.0316176,.1205823,.0257527,.02708036,.0778876,.018751,.0778876,.018751,.0736767,-.0173215,.0313411,-.0001135,.0170477,2.832262,2.832262
"001976","35068",31dec2013,2013,"Oil, Gas, and Coal Extraction and Products","Petroleum and Natural Gas",,.2285778,,-.023497,0,,,10.2376,59.4,,,.0165444,,,,.0359061,.46848,16.01027,7.044167,14046.7,2511.737,8.15e-06,914.9622,53,"MALE",730,6.594413,.0746402,.156834,.0500823,.0095582,.1000215,,.01500635,.0392353,-.003965,.0392353,-.0039958,.0490073,-.0464272,.045282,.0017532,.0112897,1.232365,1.232365
"001979","34069",31dec2013,2013,"Healthcare, Medical Equipment, and Drugs","Pharmaceutical Products",,-.2733984,,-.0282315,1,,,5.931906,.387,4,,.0107423,,,,.0710586,.25923,,6.482116,23888.79,14412.77,.0004151,12565.09,59,"MALE",5935,8.68879,.0217236,0,.5538936,.0208453,.1468615,.0257527,.01679385,.1190696,.0693832,.1190696,.0693832,.1330889,.0449284,.0252916,.0043472,.1038545,4.81303,4.81303
"001988","30913",31dec2013,2013,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","Shipping Containers",,.5605875,,-.1640011,,,,8.964415,14.6,,,.0036844,,,,-.0342208,.36252,15.85622,7.022456,37442.97,9990.486,.0001741,7127.093,48,"MALE",1070,6.976348,.0483772,.461022,.0531983,.0094376,.090322,.0257527,.01066318,.0519706,0,.0520218,0,.0480391,.0028434,.0554086,-.002472,.3533935,1.771288,1.771288
"002002","00104",,2013,"Finance","Banking",,.5284479,,,,,,10.48429,8.058999999999999,,,0,,,,-.002499,,14.71823,7.244227,8814.258,3675.916,.0000511,164.0671,61,"MALE",7304,8.896315,.001079,.1019668,.0358514,0,.0183884,.0257527,.01128806,.0167647,.0069994,.0167647,.0069622,.2815448,.0825326,.2017512,.1430526,.1420574,.9550939,.9550939
"002005","29222",,2013,"Finance","Banking",,-.8843705,,,,,,9.552814,2.196,,,0,,,,-.0023838,,15.09851,6.626515,13169.9,4115.306,.0001635,4960.392,48,"MALE",1250,7.131699,.0011189,.0677874,.0329265,.005718,.0115469,.0257527,.00127578,.0106858,.0009205,.0106858,.0008833,.2573881,.0583758,.0572003,-.0014983,.0051372,1.113293,1.113293
"002019","14581",,2013,"Finance","Banking",,,,,0,,,12.83284,51.1,,,0,,,,.0006332,,16.06161,6.907755,48366.73,28358.19,.0000227,22675.9,61,"MALE",853,6.749931,.001627,.0808715,.4148433,.0018193,.0093505,.0257527,.00518291,.0056397,-.0041256,.0056397,-.0041628,.1377398,-.0612725,.0528937,-.0058049,.2100673,1.000904,1.000904
"002044","10441",31dec2013,2013,"Healthcare, Medical Equipment, and Drugs","Medical Equipment",,1.180359,,-.0647047,0,1,,8.525379,13,1,0,.0969667,,,,.018131,.37014,16.01586,6.995766,73469.53,55163.64,.0000843,41333.05,55,"MALE",3798,8.242494,.0137073,.2788479,.2148737,.0131717,.1658765,.0257527,.0324837,.1368352,.0831861,.1368352,.0831861,.226201,.146742,.0665074,.0329416,.2124212,2.611093,2.611093
"002055","24068",31dec2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Precious Metals",,.6957734,,-.2420883,,,,10.53071,24.36,,,0,,,,-.0543687,.28834,,7.214696,7656.458,1394.185,5.16e-06,1394.185,56,"MALE",574,6.35437,.146897,.3492844,.0641957,.0135655,-.2152318,.0257527,.15234745,-.2632985,-.0996466,-.2768105,-.1143902,-.8285509,-.2663543,-.5048504,-.1450224,-.2701006,1.126624,1.126624
"002080","10138",30nov2013,2013,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances","Consumer Goods",,.2111875,,.0096223,,,,5.419867,1.501,4,,0,,,,.2285332,.28786,,5.921356,3730.249,1403.319,.0011478,1338.125,57,"MALE",5082,8.533657,.0633255,.0121586,.1809085,.0202126,.0507153,.0257441,.13142944,.0225637,-.0436072,.0225637,-.0436072,.0158613,-.0453204,.0297583,-.0139543,.2814379,1.037709,1.061269
"002086","14299",31dec2013,2013,"Healthcare, Medical Equipment, and Drugs","Pharmaceutical Products",,.8778479,,-.0448678,,,0,10.1608,61,3,,.0816567,,,,.0413236,.39343,16.57934,7.330109,89806.87,12558.02,.0000546,8611.393,62,"MALE",3543,8.173012,.0589509,.3543237,.1056477,.0405118,.1090881,.0257527,.02270115,.0777765,.0280901,.0777765,.0280901,.1318566,.0436961,.0532722,.0323278,.097415,2.123595,2.123595
"002101","36830",30jun2013,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,.6268598,,-.0315681,,,,6.964803,5.109,3,,0,,,,.081917,.30995,,6.64639,5577.334,2866.159,.0000417,3412.047,49,"MALE",614,6.421622,.0115367,0,.069107,.0351316,.1359046,.0225877,.02575968,.1115976,.0648555,.1115976,.0648555,.0479857,.0247021,.0579722,.0104836,.0104677,2.231924,2.201653
